296	1120426.00	23616	1.08	47.44	518962.00	56.44%	0.00000000	OpenOrders=35 	Percentage=0.1 	TrailingStop=0.016 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
191	1118876.00	24021	1.07	46.58	933842.00	56.55%	0.00000000	OpenOrders=45 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
57	1111047.00	28119	1.08	39.51	381327.00	43.50%	0.00000000	OpenOrders=35 	Percentage=0.55 	TrailingStop=0.014 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
311	1099256.00	17415	1.08	63.12	676762.00	62.45%	0.00000000	OpenOrders=35 	Percentage=0.4 	TrailingStop=0.021 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
155	1097924.00	27272	1.06	40.26	601622.00	63.47%	0.00000000	OpenOrders=50 	Percentage=0.2 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
273	1097626.00	27272	1.06	40.25	601820.00	63.47%	0.00000000	OpenOrders=50 	Percentage=0.4 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
272	1095775.00	29170	1.06	37.57	523578.00	52.35%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.016 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
133	1092201.00	27272	1.06	40.05	603747.00	63.47%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
300	1091662.00	18641	1.06	58.56	367237.00	67.45%	0.00000000	OpenOrders=45 	Percentage=0.5 	TrailingStop=0.03 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
65	1062824.00	15153	1.10	70.14	481703.00	57.23%	0.00000000	OpenOrders=30 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
37	1058109.00	25112	1.06	42.14	890808.00	68.65%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.019 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
215	1055129.00	18386	1.08	57.39	614546.00	58.35%	0.00000000	OpenOrders=35 	Percentage=0.65 	TrailingStop=0.02 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
320	1030570.00	23648	1.06	43.58	476146.00	74.08%	0.00000000	OpenOrders=45 	Percentage=0.45 	TrailingStop=0.021 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
310	1001603.00	25065	1.06	39.96	889188.00	76.37%	0.00000000	OpenOrders=50 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
161	997109.00	33037	1.07	30.18	313099.00	38.08%	0.00000000	OpenOrders=45 	Percentage=0.3 	TrailingStop=0.011 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
206	982332.00	32143	1.06	30.56	510090.00	40.32%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.014 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
101	973105.00	29397	1.06	33.10	570434.00	46.26%	0.00000000	OpenOrders=40 	Percentage=0.3 	TrailingStop=0.014 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
205	971144.00	33794	1.07	28.74	352813.00	36.92%	0.00000000	OpenOrders=50 	Percentage=0.2 	TrailingStop=0.011 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
245	966850.00	12257	1.11	78.88	422194.00	53.45%	0.00000000	OpenOrders=25 	Percentage=0.55 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
292	964618.00	17880	1.08	53.95	653567.00	55.14%	0.00000000	OpenOrders=30 	Percentage=0.7 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
165	964383.00	9935	1.13	97.07	323494.00	42.31%	0.00000000	OpenOrders=20 	Percentage=0.4 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
242	962333.00	19536	1.07	49.26	622363.00	62.91%	0.00000000	OpenOrders=35 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
151	960440.00	23093	1.06	41.59	1028290.00	66.73%	0.00000000	OpenOrders=45 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
301	957199.00	29924	1.06	31.99	807284.00	56.56%	0.00000000	OpenOrders=45 	Percentage=0.1 	TrailingStop=0.014 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
117	952864.00	17536	1.07	54.34	705463.00	58.12%	0.00000000	OpenOrders=35 	Percentage=0.4 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
92	946568.00	32099	1.06	29.49	639480.00	40.12%	0.00000000	OpenOrders=50 	Percentage=0.2 	TrailingStop=0.014 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
260	946443.00	32099	1.06	29.49	639605.00	40.12%	0.00000000	OpenOrders=50 	Percentage=0.25 	TrailingStop=0.014 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
308	944671.00	20261	1.07	46.63	789457.00	73.68%	0.00000000	OpenOrders=40 	Percentage=0.7 	TrailingStop=0.019 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
278	943246.00	15064	1.09	62.62	430875.00	57.23%	0.00000000	OpenOrders=30 	Percentage=0.45 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
217	941558.00	16941	1.09	55.58	425010.00	44.53%	0.00000000	OpenOrders=25 	Percentage=0.55 	TrailingStop=0.016 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
190	940865.00	25112	1.05	37.47	989088.00	68.65%	0.00000000	OpenOrders=50 	Percentage=0.2 	TrailingStop=0.019 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
202	929509.00	23754	1.08	39.13	457226.00	45.58%	0.00000000	OpenOrders=30 	Percentage=0.4 	TrailingStop=0.014 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
122	928303.00	12674	1.10	73.24	424619.00	53.45%	0.00000000	OpenOrders=25 	Percentage=0.1 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
89	922032.00	15544	1.07	59.32	455594.00	85.49%	0.00000000	OpenOrders=35 	Percentage=0.45 	TrailingStop=0.025 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
115	920208.00	10944	1.11	84.08	305751.00	50.96%	0.00000000	OpenOrders=20 	Percentage=0.2 	TrailingStop=0.021 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
197	916887.00	25954	1.07	35.33	495835.00	53.68%	0.00000000	OpenOrders=35 	Percentage=0.6 	TrailingStop=0.014 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
192	915584.00	25682	1.07	35.65	582876.00	62.45%	0.00000000	OpenOrders=35 	Percentage=0.4 	TrailingStop=0.014 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
236	905238.00	23141	1.06	39.12	715550.00	66.73%	0.00000000	OpenOrders=45 	Percentage=0.2 	TrailingStop=0.019 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
26	900343.00	18233	1.06	49.38	632721.00	80.80%	0.00000000	OpenOrders=40 	Percentage=0.7 	TrailingStop=0.023 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
40	897667.00	9649	1.16	93.03	284658.00	32.19%	0.00000000	OpenOrders=15 	Percentage=0.55 	TrailingStop=0.016 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
249	891533.00	28303	1.05	31.50	336407.00	56.63%	0.00000000	OpenOrders=50 	Percentage=0.7 	TrailingStop=0.02 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
69	889434.00	26608	1.05	33.43	363472.00	59.03%	0.00000000	OpenOrders=45 	Percentage=0.1 	TrailingStop=0.02 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
229	880679.00	33759	1.06	26.09	369562.00	43.91%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.011 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
153	879239.00	28023	1.06	31.38	468340.00	44.84%	0.00000000	OpenOrders=35 	Percentage=0.6 	TrailingStop=0.014 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
88	866155.00	17465	1.07	49.59	293237.00	55.53%	0.00000000	OpenOrders=25 	Percentage=0.2 	TrailingStop=0.019 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
15	844638.00	28571	1.06	29.56	489831.00	39.93%	0.00000000	OpenOrders=35 	Percentage=0.6 	TrailingStop=0.014 	closeallvalue=50000	lotsize=1 	TakeProfit=1.11 	seed=1000
119	843155.00	16518	1.07	51.04	291819.00	54.97%	0.00000000	OpenOrders=25 	Percentage=0.2 	TrailingStop=0.02 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
82	841682.00	2822	1.30	298.26	140282.00	27.72%	0.00000000	OpenOrders=10 	Percentage=0.1 	TrailingStop=0.029 	closeallvalue=80000	lotsize=1 	TakeProfit=1.11 	seed=1000
253	840618.00	27869	1.06	30.16	516827.00	44.89%	0.00000000	OpenOrders=40 	Percentage=0.3 	TrailingStop=0.014 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
141	832553.00	14243	1.11	58.45	427976.00	39.76%	0.00000000	OpenOrders=20 	Percentage=0.5 	TrailingStop=0.015 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
218	830198.00	14471	1.07	57.37	329499.00	56.86%	0.00000000	OpenOrders=30 	Percentage=0.4 	TrailingStop=0.023 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
170	827030.00	24231	1.04	34.13	365983.00	67.13%	0.00000000	OpenOrders=50 	Percentage=0.2 	TrailingStop=0.025 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
